Cell line,lactate_excretion_fmol_cell_min,glucose_uptake_fmol_cell_min
EV Q,5.619943515,6.544799167
2mM2DG,5.89,22.9
5mM2DG,5.25,30.86
0mM2DG,14.44,19.97
10mM2DG,3.24,14.18
0.75mM2DG,8.250014509,26.44
SC P,14.44,19.97
BT549,49.66,81.79
DITNC1,25.04,37.01
Hela,66.56,121.74
PC3,35.79,41.29
RAS0mM2DG,18.23297952,15.66486568
RAS1mM2DG,9.988943422,9.278129169
RAS2mM2DG,7.773716029,7.630662327
RAS10mM2DG,4.99399785,7.18810575
RAS20mM2DG,3.793129604,4.691456889
Q0mM2DG,4.771458821,5.098004397
Q0.75mM2DG,3.200091439,3.808598752
Q3mM2DG,2.832123541,3.867485778
Q15mM2DG,1.629589528,2.752635575
